timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2022-11-03 13:33:01.68		start_recording
MSG	2022-11-03 13:33:01.68		image_on
MSG	2022-11-03 13:33:01.69		Recording_Amir.avi
2022-11-03 13:33:02.191	1049471343	False	7	312.8361	124.1028	309.1092	124.1241	22.974449999999997	307.28	147.9992	307.28	147.9992	23.1287	0.3668	0.567	318.3922	100.2064	318.3922	100.2064	22.8202	0.5993	0.546
2022-11-03 13:33:02.225	1049471377	False	7	317.4843	122.5161	311.1421	123.851	22.55355	314.6542	135.153	310.9718	141.5679	22.9889	0.3651	0.5671	320.3144	109.8791	319.3545	105.0489	22.1182	0.5975	0.5458
2022-11-03 13:33:02.257	1049471409	False	7	115.4811	182.2108	291.908	129.6164	22.611449999999998	83.5156	156.9687	234.837	146.7125	22.959	0.3615	0.5689	147.4466	207.4528	261.8099	139.3369	22.2639	0.594	0.5468
2022-11-03 13:33:02.291	1049471443	False	7	21.3417	247.8294	274.7574	137.475	22.719900000000003	-6.5556	242.6361	173.665	170.919	23.332	0.3591	0.57	49.2391	253.0227	207.9749	168.1487	22.1078	0.5912	0.5472
2022-11-03 13:33:02.324	1049471476	True	7	28.5401	239.6695	255.3503	145.2256	22.721600000000002	16.3393	260.4677	141.1221	189.259	23.044	0.3581	0.5701	40.7409	218.8714	173.5177	178.731	22.3992	0.5901	0.5471
2022-11-03 13:33:02.358	1049471510	False	7	38.8066	239.5333	38.8066	230.7278	22.6444	17.1684	242.5841	17.1684	242.5841	23.0807	0.3573	0.5701	60.4449	236.4825	60.4449	236.4825	22.2081	0.5893	0.5471
2022-11-03 13:33:02.391	1049471543	False	7	28.1044	244.5121	28.1044	244.5121	22.538899999999998	20.3571	266.5214	20.3571	266.5214	23.1052	0.3568	0.5701	35.8516	222.5029	35.8516	222.5029	21.9726	0.5886	0.5469
2022-11-03 13:33:02.424	1049471576	False	7	43.539	248.0334	31.9729	245.3947	22.81455	24.5321	240.6387	22.4473	253.5636	23.3561	0.3563	0.57	62.5458	255.4281	49.2157	238.9865	22.273	0.5882	0.547
2022-11-03 13:33:02.458	1049471610	False	7	45.8671	239.4539	35.8386	244.2244	22.911	35.4963	243.1272	26.819	250.048	23.5664	0.3559	0.5699	56.238	235.7805	51.5891	237.9413	22.2556	0.5877	0.5467
2022-11-03 13:33:02.491	1049471643	False	7	50.5336	262.5224	38.2585	244.8019	23.0596	48.9377	269.6779	32.4173	254.9697	23.5654	0.3554	0.57	52.1294	255.3669	51.7512	242.3533	22.5538	0.587	0.5466
2022-11-03 13:33:02.525	1049471677	False	7	35.2856	258.6657	38.7135	246.0564	23.33105	22.458	267.9353	30.4441	257.6091	23.754	0.3547	0.5698	48.1133	249.3961	51.0337	243.8232	22.9081	0.5863	0.5461
2022-11-03 13:33:02.557	1049471709	True	7	35.1545	230.5278	38.8645	246.3226	23.2534	24.1591	236.8565	29.3957	254.0972	23.6709	0.3542	0.5693	46.1498	224.1992	50.2118	240.5208	22.8359	0.5857	0.5457
2022-11-03 13:33:02.590	1049471742	True	7	37.7448	248.7524	38.9989	246.5029	23.49205	25.1052	250.1122	28.7707	253.4948	23.8247	0.3539	0.569	50.3843	247.3927	50.2376	241.537	23.1594	0.5853	0.5454
2022-11-03 13:33:02.624	1049471776	False	7	115.7931	104.6503	37.7448	248.7524	23.47485	98.7467	99.5899	98.7467	99.5899	23.9691	0.3543	0.5666	132.8396	109.7108	132.8396	109.7108	22.9806	0.5854	0.5432
2022-11-03 13:33:02.657	1049471809	False	7	122.435	88.4875	122.435	88.4875	23.8234	110.1619	93.0964	110.1619	93.0964	24.1879	0.3536	0.5668	134.7082	83.8785	134.7082	83.8785	23.4589	0.5846	0.5432
2022-11-03 13:33:02.691	1049471843	False	7	122.9894	87.4747	122.574	88.2336	23.905299999999997	100.5011	94.4032	105.3253	93.7507	24.2797	0.3527	0.5669	145.4776	80.5461	140.0998	82.2102	23.5309	0.5838	0.5431
2022-11-03 13:33:02.724	1049471876	False	7	105.9282	91.5929	129.356	89.1883	23.9735	63.6187	74.4502	91.3558	87.2909	24.2768	0.3515	0.5671	148.2377	108.7357	142.8331	91.0868	23.6702	0.5827	0.5432
2022-11-03 13:33:02.757	1049471909	False	7	111.7332	110.3862	124.1367	90.112	24.2838	81.7771	90.8304	88.8805	88.1599	24.7944	0.3506	0.5675	141.6893	129.9421	142.5618	100.919	23.7732	0.5815	0.5435
2022-11-03 13:33:02.791	1049471943	False	7	38.6942	-8.2731	122.045	87.3622	24.07145	5.6085	-11.3653	71.9095	67.9367	24.6111	0.3489	0.5675	71.7799	-5.1808	128.2005	79.4589	23.5318	0.5796	0.543
2022-11-03 13:33:02.824	1049471976	False	7	34.4343	14.1467	102.654	77.4982	23.904400000000003	-1.4045	21.395	-1.4045	21.395	24.187	0.3478	0.5678	70.2731	6.8983	70.2731	6.8983	23.6218	0.5785	0.5432
2022-11-03 13:33:02.858	1049472010	False	7	-30.0361	-14.4613	-30.0361	-14.4613	24.229300000000002	-30.0361	-14.4613	-30.0361	-14.4613	24.5582	0.347	0.5682	0.0	0.0	0.0	0.0	23.9004	0.5775	0.5433
2022-11-03 13:33:02.891	1049472043	False	7	45.2126	26.8837	9.364	3.1815	24.45695	7.1775	23.6971	-11.4056	4.6422	24.8221	0.3459	0.5684	83.2477	30.0702	83.2477	30.0702	24.0918	0.5764	0.5434
2022-11-03 13:33:02.924	1049472076	False	7	52.3038	46.1182	18.1285	11.2108	24.338549999999998	15.8039	36.9635	-2.2656	15.4942	24.9286	0.3448	0.5686	88.8037	55.2729	86.0293	42.6877	23.7485	0.5753	0.5433
2022-11-03 13:33:02.957	1049472109	False	7	60.5071	16.9543	24.1261	14.4622	24.46445	24.7677	3.0275	4.6112	12.4149	24.7832	0.344	0.5682	96.2464	30.8811	89.4542	38.7568	24.1457	0.5744	0.5428
2022-11-03 13:33:02.990	1049472142	False	7	73.4367	15.9545	28.2216	15.8465	24.5862	42.4286	19.9401	12.3779	13.9756	24.9459	0.3432	0.5682	104.4448	11.9689	93.2518	32.0009	24.2265	0.5736	0.5425
2022-11-03 13:33:03.023	1049472175	True	7	48.7696	25.628	31.2589	16.9423	24.8477	17.9114	15.6953	13.4583	14.3084	25.2675	0.3425	0.5684	79.6277	35.5608	90.5213	32.6834	24.4279	0.5729	0.5426
2022-11-03 13:33:03.057	1049472209	True	7	85.4455	8.7973	29.6566	16.7496	24.9386	53.6927	20.1801	19.5226	15.2113	25.1689	0.3424	0.5682	117.1983	-2.5856	95.0781	26.6402	24.7083	0.5728	0.542
